comment,Cleaned_Comment,Sentiment
Welcome to Palermo! Da vero palermitano è un&#39; emozione,Welcome to Palermo Da vero palermitano  un39 emozione,positive
extraordinary Italy ... wonderful Palermo ... thanks for the spot!!!,extraordinary Italy  wonderful Palermo  thanks for the spot,positive
Its probably David Coulthard but nice anyway :P lol,Its probably David Coulthard but nice anyway P lol,positive
"I&#39;m curious, do you think it is really Max in the car??",I39m curious do you think it is really Max in the car,positive
"Next on the Calender, the Palermo City Circuit",Next on the Calender the Palermo City Circuit,neutral
Video magnifico😍😍,Video magnifico,neutral
I am sure Max would never drives an electric car.<br>Without sound there will be a lot of deads.,I am sure Max would never drives an electric carWithout sound there will be a lot of deads,positive
Mamma quanto si sente figo e popolare con due sgommate in centro,Mamma quanto si sente figo e popolare con due sgommate in centro,negative
Is this a Gran Turismo 7 reference?,Is this a Gran Turismo 7 reference,neutral
bit cringe but they mean well,bit cringe but they mean well,negative
Beautiful vidéo 🧡🧡🧡,Beautiful vido,positive
Benvenuto in Italia max 🇮🇹🇮🇹🇮🇹,Benvenuto in Italia max,neutral
La mia Palermo stupenda<br>😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍,La mia Palermo stupenda,neutral
Bellissimo!!!<br>Grazie Red Bull Racing Honda!,BellissimoGrazie Red Bull Racing Honda,neutral
"Great Max, one small problem, you lost your Halo, please put it back on there are a lot of crazy drivers in F1 ;)",Great Max one small problem you lost your Halo please put it back on there are a lot of crazy drivers in F1,negative
Mostra la bellezza di tutta la città.... Che spettacolo che è l&#39;italia..La mia terra!,Mostra la bellezza di tutta la citt Che spettacolo che  l39italiaLa mia terra,neutral
"its mind-blanding video, Guys! Keep up!",its mindblanding video Guys Keep up,neutral
Приємне відео з дизайном,,neutral
La mia anima !!Ti AM❤️ PALERM❤️,La mia anima Ti AM PALERM,neutral
Would be brilliant if they would hire Ricardo to push the snack/ice cart. But general it&#39;s a beautiful clip!,Would be brilliant if they would hire Ricardo to push the snackice cart But general it39s a beautiful clip,positive
peccato ci sia la macchina :D,peccato ci sia la macchina D,neutral
Ma che bello questo spot! Stupendo! Geniale!,Ma che bello questo spot Stupendo Geniale,neutral
“Quando conoscerò la tua anima dipingerò i tuoi occhi”. Amedeo Modigliani,Quando conoscer la tua anima dipinger i tuoi occhi Amedeo Modigliani,neutral
From Palermo just One word: GRAZIE REDBULL! ❤️🇮🇹🙏,From Palermo just One word GRAZIE REDBULL,neutral
Awesome drone moves! And that Sicilian atmosphere was a strong contrast against the RB race car,Awesome drone moves And that Sicilian atmosphere was a strong contrast against the RB race car,positive
Grazie MAX VERSTAPPEN❤ Grazie Red Bull ❤ <br>Mai tributo fu tanto Meraviglioso ed Emozionante<br>Da Oggi Sarò il Vostro Primo Tifoso 🖤💙,Grazie MAX VERSTAPPEN Grazie Red Bull  Mai tributo fu tanto Meraviglioso ed EmozionanteDa Oggi Sar il Vostro Primo Tifoso,neutral
love Italian🇮🇹✌️,love Italian,positive
"No Vabbè. Awesome video, awesome post production and awesome photography.<br>Good job guys",No Vabb Awesome video awesome post production and awesome photographyGood job guys,positive
OPERA,OPERA,neutral
Hope you had tons of arancini and sfincioni🥂,Hope you had tons of arancini and sfincioni,neutral
"Scuderia Ferrari : wait, why are you here?",Scuderia Ferrari  wait why are you here,neutral
Semplicemente spettacolare Palermo 👏👏❤,Semplicemente spettacolare Palermo,neutral
Red Bull ha occhi profondi... Grazie,Red Bull ha occhi profondi Grazie,neutral
Palermo… il tutto nel nulla ed il nulla nel tutto… un profondo respiro ed un’affannosa asfissia… un’esplosione di colori ed un riverbero di grigio… un’oasi di bellezza e un deserto d’orrore… un delirio di gioia e un grido di dolore…Ne inaliamo silenziosamente la chiassosa quotidianità… la cultura accattivante ed ambigua… la camaleontica trasfigurazione dei vuoti e dei valori… nel vortice delle ribaltate verità… Ma a rare anime è concesso il sentirla… l’amarla sino all’estrema essenza… il distinguere ed il capire quel suo bacio… a volte vita e a volte morte… che è la sua realtà… non la sua sorte… che esiste ancor la luce delle coscienze vive… non solo il buio delle coscienze morte…<br>Piero Mandracchia,Palermo il tutto nel nulla ed il nulla nel tutto un profondo respiro ed unaffannosa asfissia unesplosione di colori ed un riverbero di grigio unoasi di bellezza e un deserto dorrore un delirio di gioia e un grido di doloreNe inaliamo silenziosamente la chiassosa quotidianit la cultura accattivante ed ambigua la camaleontica trasfigurazione dei vuoti e dei valori nel vortice delle ribaltate verit Ma a rare anime  concesso il sentirla lamarla sino allestrema essenza il distinguere ed il capire quel suo bacio a volte vita e a volte morte che  la sua realt non la sua sorte che esiste ancor la luce delle coscienze vive non solo il buio delle coscienze mortePiero Mandracchia,positive
Anzi si vede ben poco di sua maestà Palermo comunque davvero bello !!,Anzi si vede ben poco di sua maest Palermo comunque davvero bello,neutral
👍Red Bull the best ❤️❤️❤️,Red Bull the best,positive
"Ma tanto si sa, lo sa anche Red Bull, la piaga che infama Palermo è il traffico!",Ma tanto si sa lo sa anche Red Bull la piaga che infama Palermo  il traffico,neutral
"<a href=""https://www.youtube.com/watch?v=T8Yxjf5hv-E&amp;t=138"">2:18</a> I though he was going to said &quot;ITS A FERRARI&quot;",218 I though he was going to said quotITS A FERRARIquot,neutral
If only this really was Max..,If only this really was Max,positive
La vera Palermo ....ti amo palermo💗🖤,La vera Palermo ti amo palermo,neutral
Yes sure it&#39;s max,Yes sure it39s max,positive
Now that is class!!!!,Now that is class,neutral
"I accidentlly paused the video and noticed the woman at <a href=""https://www.youtube.com/watch?v=T8Yxjf5hv-E&amp;t=237"">3:57</a> has Max&#39;s number tattooed on her neck. Nice little detail.",I accidentlly paused the video and noticed the woman at 357 has Max39s number tattooed on her neck Nice little detail,positive
S P E T T A C O L O,S P E T T A C O L O,neutral
"Idea meravigliosa, stupenda città Palermo....Chissà se si potrà realizzare un qualcosa del genere nella mia Reggio Calabria, una bella tirata al Ponte della Libertà e sul Lungomare non sarebbe mica male! 😁....<br>Qui ho visto esposta la Ferrari 126 C Turbo del leggendario Gilles Villeneuve in Piazza Duomo nel 1998, quando avevo 9 anni, dopodiché di nuovo nel 2010 in occasione del Motorshow 2 Mari....<br>Nel 2017 invece credo era SF-16H all&#39;Arena Dello Stretto....",Idea meravigliosa stupenda citt PalermoChiss se si potr realizzare un qualcosa del genere nella mia Reggio Calabria una bella tirata al Ponte della Libert e sul Lungomare non sarebbe mica male Qui ho visto esposta la Ferrari 126 C Turbo del leggendario Gilles Villeneuve in Piazza Duomo nel 1998 quando avevo 9 anni dopodich di nuovo nel 2010 in occasione del Motorshow 2 MariNel 2017 invece credo era SF16H all39Arena Dello Stretto,neutral
"Max: beach time!!!<br>Team: Sorry, head down, and stay focused!",Max beach timeTeam Sorry head down and stay focused,negative
Unbelievable video wow! 🔥,Unbelievable video wow,negative
The concept the camerawork and the location...Simply superb,The concept the camerawork and the locationSimply superb,positive
"<a href=""https://www.youtube.com/watch?v=T8Yxjf5hv-E&amp;t=62"">1:02</a> that guy is so cute",102 that guy is so cute,positive
WOW!!! 😀😀😀 CHECCO...THIS IS YOUR MOMENT BRO!!! GOOOO SERGIO PEREZ P1 @ MONZA 😊😊😊 &quot;BELISSIMO&quot;,WOW  CHECCOTHIS IS YOUR MOMENT BRO GOOOO SERGIO PEREZ P1  MONZA  quotBELISSIMOquot,positive
"Palermo without traffic, wow.",Palermo without traffic wow,positive
"Dopo aver visto questo video della Red Bull, pensai a quanto fosse bella la mia città, Palermo. Ma è bella perché è vuota. Forse siamo noi palermitani a rovinarla, con il nostro caos, con il disordine e la sporcizia. Dovremo imparare a cambiare.",Dopo aver visto questo video della Red Bull pensai a quanto fosse bella la mia citt Palermo Ma  bella perch  vuota Forse siamo noi palermitani a rovinarla con il nostro caos con il disordine e la sporcizia Dovremo imparare a cambiare,neutral
E a noi la Ztl e le targhe alterne...,E a noi la Ztl e le targhe alterne,neutral
GG Red Bull,GG Red Bull,neutral
"La città paralizzata per 3 giorni, tanti disagi, io ho perso un giorno di lavoro,   ma che capolavoro hanno fatto? Questa è poesia, che meraviglia la mia Palermo!!!",La citt paralizzata per 3 giorni tanti disagi io ho perso un giorno di lavoro   ma che capolavoro hanno fatto Questa  poesia che meraviglia la mia Palermo,neutral
"Bellissimo, cioè a voi del sud vi stimano più gli stranieri che quelli del nord, e lo dico io che abito nel centro/nord, voi che insultate il sud dovete solo tacere.",Bellissimo cio a voi del sud vi stimano pi gli stranieri che quelli del nord e lo dico io che abito nel centronord voi che insultate il sud dovete solo tacere,neutral
"That wasnt max, nor horner... abit too cheesy for my taste :b",That wasnt max nor horner abit too cheesy for my taste b,negative
Why did Max not drive a 2021 car?<br>He drove older version,Why did Max not drive a 2021 carHe drove older version,positive
"Vedere una scuderia che al momento  è prima nel mondiale di f1 Piloti,  dare lustro e visibilità alla bellissima Palermo, mostrando e risaltando le sue bellezze,  rende fieri ed orgogliosi  noi  Italiani, in particolar modo Siciliani e Palermitani. <br>(Quasi tutti)  <br><br>Quasi tutti perché, nonostante  ciò, c&#39;è  chi si è lamentato &quot;del traffico  e delle strade chiuse&quot;  <br><br>Questa Red Bull che  gira sempre ed ogni giorno per Palermo mostrandola a tutto il mondo è proprio fastidioso eh?  Camurria...un avianu nenti a chi fari... <br><br>Complimenti alla Redbull, Ammuttammu",Vedere una scuderia che al momento   prima nel mondiale di f1 Piloti  dare lustro e visibilit alla bellissima Palermo mostrando e risaltando le sue bellezze  rende fieri ed orgogliosi  noi  Italiani in particolar modo Siciliani e Palermitani Quasi tutti  Quasi tutti perch nonostante  ci c39  chi si  lamentato quotdel traffico  e delle strade chiusequot  Questa Red Bull che  gira sempre ed ogni giorno per Palermo mostrandola a tutto il mondo  proprio fastidioso eh  Camurriaun avianu nenti a chi fari Complimenti alla Redbull Ammuttammu,neutral
"So unnecessary,  but epic nonetheless 😎 👏",So unnecessary  but epic nonetheless,negative
But was he really Max? He could be<br><br><br><br><br><br><br><br><br><br><br><br><br>Giorgio,But was he really Max He could beGiorgio,positive
"Come si fa a mettere il pollice in giù?? Palermo è una città bellissima e non teme rivali . Grazie Red Bull Team F1 che ci hai dato emozioni infinite e che rimarranno per sempre  , grazie Palermo che con le tue bellezze le hai fatto conoscere a tutto il mondo, grazie popolo di Palermo che con il vostro apporto e pazienza avete reso questo straordinario video unico e suggestivo. Un grazie speciale al pilota di F1 Verstappen. Sarebbe un sogno disputare un gran premio di F1 a Palermo.",Come si fa a mettere il pollice in gi Palermo  una citt bellissima e non teme rivali  Grazie Red Bull Team F1 che ci hai dato emozioni infinite e che rimarranno per sempre   grazie Palermo che con le tue bellezze le hai fatto conoscere a tutto il mondo grazie popolo di Palermo che con il vostro apporto e pazienza avete reso questo straordinario video unico e suggestivo Un grazie speciale al pilota di F1 Verstappen Sarebbe un sogno disputare un gran premio di F1 a Palermo,neutral
"Max really doesn’t sound interested at all, he’s like “oh damn driving down the city in my F1 car again??&quot;",Max really doesnt sound interested at all hes like oh damn driving down the city in my F1 car againquot,positive
WOW che emozione!,WOW che emozione,positive
Great CGI to edit in the car like that.,Great CGI to edit in the car like that,positive
"Bellissimo adoro la Sicilia,peccato per il suono non coerente con la vettura. Facciamo progresso...o ammettiamo che il passato sia molto meglio? Compreso il suono delle vecchie F1?",Bellissimo adoro la Siciliapeccato per il suono non coerente con la vettura Facciamo progressoo ammettiamo che il passato sia molto meglio Compreso il suono delle vecchie F1,neutral
Semplicemente STRAORDINARIO ... Grazie,Semplicemente STRAORDINARIO  Grazie,neutral
Simply lovely,Simply lovely,positive
Beautiful,Beautiful,positive
Go Max 🇫🇷🇫🇷🇫🇷,Go Max,neutral
St. Verstappen!!!!!!,St Verstappen,neutral
fucking legends.,fucking legends,negative
Penso il video più pazzesco degli ultimi anni 🤯😀🤩,Penso il video pi pazzesco degli ultimi anni,neutral
Solo in Sicilia si possono fare queste scelte bellissime 👋👍😃😄😀,Solo in Sicilia si possono fare queste scelte bellissime,neutral
My wonderful Palermo❤,My wonderful Palermo,positive
I can&#39;t believe they shot a video in Sicily. My heart was racing the whole time. Love it.,I can39t believe they shot a video in Sicily My heart was racing the whole time Love it,positive
Wowww,Wowww,neutral
That&#39;s so cool,That39s so cool,positive
"Such a beautiful city, and unexpected for you to shoot there ahead of the Italian GP in Monza. But great choice, Sicily needs more recognition given all it has to offer",Such a beautiful city and unexpected for you to shoot there ahead of the Italian GP in Monza But great choice Sicily needs more recognition given all it has to offer,positive
peccato che lo spot ha dei tempi da rispettare.. perché max ha visto solo un decimo delle bellezze di Palermo!,peccato che lo spot ha dei tempi da rispettare perch max ha visto solo un decimo delle bellezze di Palermo,neutral
Wow,Wow,positive
Im italy!!,Im italy,neutral
What a nice town. I hope to visit it one day. 👌,What a nice town I hope to visit it one day,positive
"if i have to bought f1 steer, can i have such a good drive like this with my volvo? 😭",if i have to bought f1 steer can i have such a good drive like this with my volvo,positive
"They always go to the screamers for this stuff, just wouldn’t  be the same with the vacuum cleaners they currently use.",They always go to the screamers for this stuff just wouldnt  be the same with the vacuum cleaners they currently use,negative
Cheesy as hell.,Cheesy as hell,negative
"I was born here and lived here ever since. It may sound obvious but to me this is the best place in the world, or at least the place where my heart is. I highly recommend a visit if you’ve never been in Palermo.<br>You’ll leave your heart here too. ❤️",I was born here and lived here ever since It may sound obvious but to me this is the best place in the world or at least the place where my heart is I highly recommend a visit if youve never been in PalermoYoull leave your heart here too,positive
These RB video&#39;s are fire 🔥 Sick editing👌🏾,These RB video39s are fire  Sick editing,negative
Max was getting his daily groceries until his team called him.,Max was getting his daily groceries until his team called him,neutral
Que coisa mais linda. Que produção incrivel 👏🏻👏🏻👏🏻,Que coisa mais linda Que produo incrivel,neutral
Video incredibile. Avrei voluto partecipare,Video incredibile Avrei voluto partecipare,neutral
"Hamilton will maximize the lvl at Monza , it&#39;s his track wait for it 😜♥️♥️",Hamilton will maximize the lvl at Monza  it39s his track wait for it,neutral
Grazie mille Red Bull mi avete fatto piangere di gioia!,Grazie mille Red Bull mi avete fatto piangere di gioia,neutral
"da oggi tifo RED BULL .....grande MAX ,,,,,FORZA MAXXXXXX !!!!!!!!",da oggi tifo RED BULL grande MAX FORZA MAXXXXXX,neutral
😍😍,,neutral
W la Sicilia  w Palermo bellissima Antonio da Napoli ❤️🖐️🖐️🖐️,W la Sicilia  w Palermo bellissima Antonio da Napoli,neutral
hold on! is that a RB7 with the 2021 livery? :D,hold on is that a RB7 with the 2021 livery D,neutral
Love it,Love it,positive
Il sosia di  Max 🤔🤔,Il sosia di  Max,neutral
I want to see the behind the scenes of this video.,I want to see the behind the scenes of this video,negative
Che figata!<br>Bellissimo 😍,Che figataBellissimo,neutral
La parte più bella è quando inquadrano Jakidale😂🔥🔥🔥,La parte pi bella  quando inquadrano Jakidale,neutral
ad for speeding? what happened to only use the epic shots..would be a far better edit then..this just takes to long.,ad for speeding what happened to only use the epic shotswould be a far better edit thenthis just takes to long,positive
Cosa c&#39;entra il mandolino alla fine??,Cosa c39entra il mandolino alla fine,positive
The sound editor and video editor killed it and also the whole crew behind this video in this short time.  Fantastic job.,The sound editor and video editor killed it and also the whole crew behind this video in this short time  Fantastic job,positive
"I pollici in giù, vorrei capire che problemi hanno?? Razzismo o cosa?? È uno spot bello, che mette in risalto lo splendore della mia città ❤️<br>Palermo mia❤️",I pollici in gi vorrei capire che problemi hanno Razzismo o cosa  uno spot bello che mette in risalto lo splendore della mia citt Palermo mia,neutral
XD .. ;),XD,neutral
I was speechless now 😍😍,I was speechless now,neutral
Just loving that V8 sound with the high revs🥰,Just loving that V8 sound with the high revs,positive
ecco perchè sfrecciava una formula uno sotto casa di un mio amico,ecco perch sfrecciava una formula uno sotto casa di un mio amico,neutral
WELCOME PALERMO ❤❤❤,WELCOME PALERMO,positive
Great video now lets kick hamilitons black ass once again Max!!! Do it good!!!,Great video now lets kick hamilitons black ass once again Max Do it good,positive
Max il prossimo anno ti aspettiamo a Napoli,Max il prossimo anno ti aspettiamo a Napoli,neutral
Nice and well-done spot<br>thank also RB for supporting the Italian Alpha Tauri team,Nice and welldone spotthank also RB for supporting the Italian Alpha Tauri team,positive
Fantastico!!! 🇮🇹🇮🇹🇮🇹,Fantastico,neutral
"You guys already had the highest level regarding video&#39;s from F1 Teams, with this video, you Just raised the bar. Greetings from Amsterdam and Forza Ferrari :)",You guys already had the highest level regarding video39s from F1 Teams with this video you Just raised the bar Greetings from Amsterdam and Forza Ferrari,neutral
So epic,So epic,positive
"I mean, Redbull can&#39;t do anything else rather than repeating itself. there is no creativity anymore. <br>and the most disgusting part of the clip is @<a href=""https://www.youtube.com/watch?v=T8Yxjf5hv-E&amp;t=165"">2:45</a> when Max has a stop and he answers to the radio: JUST HIT A LITTLE SNAG GUY. this line could be: JUST STOP BY A NICE SNAG GUY.<br>but the world in the eyes of the writer of the clip and also Max is exactly look like that. Everything including other humans are little except Redbull.<br>BIG DISLIKE",I mean Redbull can39t do anything else rather than repeating itself there is no creativity anymore and the most disgusting part of the clip is 245 when Max has a stop and he answers to the radio JUST HIT A LITTLE SNAG GUY this line could be JUST STOP BY A NICE SNAG GUYbut the world in the eyes of the writer of the clip and also Max is exactly look like that Everything including other humans are little except RedbullBIG DISLIKE,negative
"Could &quot;Red_Bull&quot; and others; &quot;sponsor their very own (ITALIAN)_ FOOTIE Leagues, &quot;Tournies&quot; (tournaments)/cups and (Club) -TEAMs; (for instance): = especially, &quot;for the very &quot;Youth!?&quot;!!&quot;??",Could quotRedBullquot and others quotsponsor their very own ITALIAN FOOTIE Leagues quotTourniesquot tournamentscups and Club TEAMs for instance  especially quotfor the very quotYouthquotquot,positive
Video da brividi!!!!,Video da brividi,neutral
Oh finally a sci-fi short film shot in Palermo! I never seen my city without the terrible traffic in the streets. Well done ;),Oh finally a scifi short film shot in Palermo I never seen my city without the terrible traffic in the streets Well done,negative
Graben algo así cuando sea el GP de Mexico 🥲🇲🇽,Graben algo as cuando sea el GP de Mexico,neutral
"Vorrei che la mia bellissima città fosse pulita come lo è in questo video. Grazie <a href=""http://www.youtube.com/results?search_query=%23redbull"">#Redbull</a>",Vorrei che la mia bellissima citt fosse pulita come lo  in questo video Grazie Redbull,neutral
"Nice commercial, but in this car is Renault engine not Honda",Nice commercial but in this car is Renault engine not Honda,positive
"Com&#39;è bella Palermo truccata, ma quando si leva il trucco (come una bella donna), è  tutta un&#39;altra cosa!",Com39 bella Palermo truccata ma quando si leva il trucco come una bella donna   tutta un39altra cosa,neutral
Beautifulermo guys!!,Beautifulermo guys,neutral
Wow fantastic spot for Palermo city... dopo quanti secondi ha distrutto le sospensioni 😂,Wow fantastic spot for Palermo city dopo quanti secondi ha distrutto le sospensioni,positive
"Ferrari, in your Face...!",Ferrari in your Face,neutral
"italy is beautiful, have a good gp in monza!",italy is beautiful have a good gp in monza,positive
Che spettacolo la mia Palermo 😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍Grazieeeeee x questo video ❤️❤️❤️❤️❤️❤️,Che spettacolo la mia Palermo Grazieeeeee x questo video,neutral
Forza Paliemmoooooo!!,Forza Paliemmoooooo,neutral
Complimenti alla Red Bull Honda. Spettacolare video. Domenica tiferò per voi. Da non riuscire a trattenere le lacrime,Complimenti alla Red Bull Honda Spettacolare video Domenica tifer per voi Da non riuscire a trattenere le lacrime,neutral
Epic!  Well done boys!!,Epic  Well done boys,positive
"An unrealistic yet beautiful portrait of Palermo. Well filmed and directed but if feeds to the utopia of the perfect city without cars, traffic, clean without rubbish in every street, a city where everything is functional and taken care of. As a Palermitano, I feel sorry to say this, but watching this feels like looking at the Kardashians...completely fake.",An unrealistic yet beautiful portrait of Palermo Well filmed and directed but if feeds to the utopia of the perfect city without cars traffic clean without rubbish in every street a city where everything is functional and taken care of As a Palermitano I feel sorry to say this but watching this feels like looking at the Kardashianscompletely fake,positive
Max e RedBull super top!! 🔝,Max e RedBull super top,positive
What if. They put this on race calendar,What if They put this on race calendar,neutral
"jakidale <a href=""https://www.youtube.com/watch?v=T8Yxjf5hv-E&amp;t=184"">3:04</a> ahahahahah",jakidale 304 ahahahahah,neutral
Te lo dico io... quest chi l&#39;è un terun,Te lo dico io quest chi l39 un terun,neutral
Wow stunning video …….. makes me wanna go as quickly to Sicily and Palermo!! I defenitely will ……  ci vediamo presto a tutti!!,Wow stunning video  makes me wanna go as quickly to Sicily and Palermo I defenitely will   ci vediamo presto a tutti,positive
Been in Palermo there... Loveeeeee it,Been in Palermo there Loveeeeee it,neutral
Meglio una FERRARI,Meglio una FERRARI,neutral
Estaría super padre que se  hiciera un circuito callejero en Palermo,Estara super padre que se  hiciera un circuito callejero en Palermo,positive
must&#39;ve been fun to film,must39ve been fun to film,positive
Ah the V10.. in all its glory!! 😍,Ah the V10 in all its glory,neutral
"<a href=""https://www.youtube.com/watch?v=T8Yxjf5hv-E&amp;t=170"">2:50</a> he let the haas go",250 he let the haas go,neutral
Things like this is what makes  Red Bull the best F1 Team,Things like this is what makes  Red Bull the best F1 Team,positive
Ma un circuito cittadino a Palermo a quando?? 😍,Ma un circuito cittadino a Palermo a quando,neutral
beautiful project to show the beautiful Italy ❤,beautiful project to show the beautiful Italy,positive
Video fantastico e bellissime inquadrature🙌🇮🇹,Video fantastico e bellissime inquadrature,neutral
World really really and really like to see the making especially the done shots!,World really really and really like to see the making especially the done shots,positive
Sono stata 5 ore nel traffico per sto spot ☺️☺️,Sono stata 5 ore nel traffico per sto spot,neutral
Stereotypes about Italy all over the place,Stereotypes about Italy all over the place,neutral
This is epic!,This is epic,positive
I want to see Sergio Perez more often,I want to see Sergio Perez more often,positive
Is that the rb15,Is that the rb15,neutral
Comunque amo la Sicilia,Comunque amo la Sicilia,neutral
Il traghetto c&#39;è pure li,Il traghetto c39 pure li,positive
Ma una sosta a messina????,Ma una sosta a messina,neutral
somehow i dont think the driver is max,somehow i dont think the driver is max,neutral
Palermo  ❤️,Palermo,neutral
Epic,Epic,positive
🇮🇹🇮🇹🇮🇹🇮🇹🇮🇹❤️❤️❤️❤️,,neutral
😍,,neutral
RB killing it as alwas,RB killing it as alwas,neutral
Vicenzo casano,Vicenzo casano,neutral
Nice parking lot 🤣,Nice parking lot,positive
Io Sono catanese ed amo la mia città ma Palermo è anche bella e questo video mi ha fatto emozionare ♥️♥️Viva la Sicilia♥️♥️,Io Sono catanese ed amo la mia citt ma Palermo  anche bella e questo video mi ha fatto emozionare Viva la Sicilia,neutral
Ayyy who&#39;s the video production manager!  I need a talk with him! You guys killing it with these great videos! <br>Hope the Mexico 🇲🇽 video is a great one also,Ayyy who39s the video production manager  I need a talk with him You guys killing it with these great videos Hope the Mexico  video is a great one also,positive
良い動画ありがとうございます！<br>こんな動画を作ってくれるRED BULLが大好きだー！！,RED BULL,neutral
Which RB series is this? Is this street legal?😀😀😀,Which RB series is this Is this street legal,positive
"RedBull Racing, you are the fastest on track and also the funniest with this video. Waiting for Ferrari come back in the top teams (I don&#39;t know when), you have one more fan from Italy! Good luck for Monza!",RedBull Racing you are the fastest on track and also the funniest with this video Waiting for Ferrari come back in the top teams I don39t know when you have one more fan from Italy Good luck for Monza,positive
I wonder if that V8 engine is an older Honda engine or the Renault one that that chassis was build around..,I wonder if that V8 engine is an older Honda engine or the Renault one that that chassis was build around,positive
Casa mia😍,Casa mia,neutral
Wow 😍,Wow,positive
Mi fate sognare,Mi fate sognare,neutral
Grazie per aver mostrato il vero volto della mia città.,Grazie per aver mostrato il vero volto della mia citt,neutral
That&#39;s not a Honda Engine XD  But nice Vid,That39s not a Honda Engine XD  But nice Vid,positive
The Drone shots are incredible! Hats off to the Droneflyer!,The Drone shots are incredible Hats off to the Droneflyer,positive
"So the traffic in the streets is&#39;t the biggest problem in Palermo 😅 kill video redbull, bravo!",So the traffic in the streets is39t the biggest problem in Palermo  kill video redbull bravo,neutral
"Bellissima, unica, indimenticabile &quot;PALERMO&quot;  ❤️❤️❤️❤️❤️❤️",Bellissima unica indimenticabile quotPALERMOquot,neutral
I&#39;m not crying....I&#39;ve just a red bull in my eyes 😭😭😭😭😭😭<br><br>Thank you red bull 🙌🙌🙌 <br>From a Palermitano❤️❤️💗,I39m not cryingI39ve just a red bull in my eyes Thank you red bull  From a Palermitano,neutral
"Song <a href=""https://www.youtube.com/watch?v=T8Yxjf5hv-E&amp;t=93"">1:33</a>?",Song 133,neutral
"Its weird to see people crowding the streets,without masks.",Its weird to see people crowding the streetswithout masks,negative
Wonderful!!!!!!!!,Wonderful,positive
"Come non tifare Red Bull quest&#39;anno? (Oltre ferrari, alpha tauri e alfa romeo)",Come non tifare Red Bull quest39anno Oltre ferrari alpha tauri e alfa romeo,neutral
"Welcome to italy, let&#39;s go😉😎",Welcome to italy let39s go,positive
Grazie RedBull ❤️,Grazie RedBull,neutral
Ciao!! Ci vediamo Mondello Bay! 🌊,Ciao Ci vediamo Mondello Bay,neutral
Grazie Red Bull ❤️ <br>P.S. Se vi è piaciuta la bellissima Palermo potreste anche fare un pensierino al Palermo F.C. 😅,Grazie Red Bull  PS Se vi  piaciuta la bellissima Palermo potreste anche fare un pensierino al Palermo FC,neutral
"Vorrei sapere come si chiama la canzone lirica di sottofondo , è bellissima….",Vorrei sapere come si chiama la canzone lirica di sottofondo   bellissima,neutral
waw amazing,waw amazing,positive
Redbull can you fly me out for Italian gp.....monza is my fav track and I have never watched one in real life and I cant even watch it live either cuz we cant afford it....plz fly me out for the race,Redbull can you fly me out for Italian gpmonza is my fav track and I have never watched one in real life and I cant even watch it live either cuz we cant afford itplz fly me out for the race,positive
Pazzesco ❤️,Pazzesco,neutral
Amazing video :),Amazing video,positive
F1 race stars be like:,F1 race stars be like,neutral
onore e merito alla red bull racing per aver omaggiato palermo un sentito grazie a nome di tutti i palermitani,onore e merito alla red bull racing per aver omaggiato palermo un sentito grazie a nome di tutti i palermitani,neutral
"Semplicemente Fantastici, grandioso spot per Palermo e L&#39;Italia, grazie RedBull.",Semplicemente Fantastici grandioso spot per Palermo e L39Italia grazie RedBull,neutral
Fantastic video!  Just back from Palermo and I already miss life there.  I cannot wait to go back there next summer.,Fantastic video  Just back from Palermo and I already miss life there  I cannot wait to go back there next summer,positive
This is is so good!🔥🔥😍,This is is so good,positive
Quando vuoi tiriamo sulla favorita 😎😂,Quando vuoi tiriamo sulla favorita,neutral
"Very cool nonsense :-) Feels like an hommage to <a href=""https://www.youtube.com/watch?v=1_kwxzU4wL4"">https://www.youtube.com/watch?v=1_kwxzU4wL4</a>",Very cool nonsense  Feels like an hommage to httpswwwyoutubecomwatchv1kwxzU4wL4,positive
"I want to know the production budget on this, does anybody know?<br>Must be over a million $.",I want to know the production budget on this does anybody knowMust be over a million,neutral
"Welcome to Monza , Italy",Welcome to Monza  Italy,positive
"Ow how I miss that sound, the beautiful Hond... Renault sound !",Ow how I miss that sound the beautiful Hond Renault sound,positive
"Wie immer, ein Super Clip von Red Bull(mit Mäx), im wunderschönen Sizilien!😍",Wie immer ein Super Clip von Red Bullmit Mx im wunderschnen Sizilien,positive
We want a street circuit in Palermo 🔥🔥🔥,We want a street circuit in Palermo,neutral
❤,,neutral
"Bellissimo video, Palermo è spettacolare. grazie ♥️♥️♥️♥️♥️♥️♥️",Bellissimo video Palermo  spettacolare grazie,neutral
Fantastico. Solo per questo video dovreste vincere il mondiale. I Hope. Come on boys!,Fantastico Solo per questo video dovreste vincere il mondiale I Hope Come on boys,neutral
Goose bumps!! Thanks for your tribute!!,Goose bumps Thanks for your tribute,positive
Che spettacolo!,Che spettacolo,neutral
Calls for a street circuit race here ?,Calls for a street circuit race here,neutral
Thank you RED BULL for this gift to my PALERMO,Thank you RED BULL for this gift to my PALERMO,neutral
Reasons to love red bull ❤️,Reasons to love red bull,positive
