author,comment,published_at
@mybedcavour8104,Hope you had tons of arancini and sfincioni🥂,2021-09-10T07:33:25Z
@prinarwanto,"Scuderia Ferrari : wait, why are you here?",2021-09-10T07:32:02Z
@eleonoradagostino6239,Semplicemente spettacolare Palermo 👏👏❤,2021-09-10T07:02:29Z
@ThePitForever,Red Bull ha occhi profondi... Grazie,2021-09-10T06:57:17Z
@ThePitForever,"Palermo… il tutto nel nulla ed il nulla nel tutto… un profondo respiro ed un’affannosa asfissia… un’esplosione di colori ed un riverbero di grigio… un’oasi di bellezza e un deserto d’orrore… un delirio di gioia e un grido di dolore…Ne inaliamo silenziosamente la chiassosa quotidianità… la cultura accattivante ed ambigua… la camaleontica trasfigurazione dei vuoti e dei valori… nel vortice delle ribaltate verità… Ma a rare anime è concesso il sentirla… l’amarla sino all’estrema essenza… il distinguere ed il capire quel suo bacio… a volte vita e a volte morte… che è la sua realtà… non la sua sorte… che esiste ancor la luce delle coscienze vive… non solo il buio delle coscienze morte…<br>Piero Mandracchia",2021-09-10T06:54:34Z
@francescopaoloalonge8005,Anzi si vede ben poco di sua maestà Palermo comunque davvero bello !!,2021-09-10T06:54:08Z
@tommyberry27,👍Red Bull the best ❤️❤️❤️,2021-09-10T06:48:49Z
@wikivalevalewiki9815,"Ma tanto si sa, lo sa anche Red Bull, la piaga che infama Palermo è il traffico!",2021-09-10T06:27:11Z
@zwzenre0127,"<a href=""https://www.youtube.com/watch?v=T8Yxjf5hv-E&amp;t=138"">2:18</a> I though he was going to said &quot;ITS A FERRARI&quot;",2021-09-10T06:22:15Z
@yespur87,If only this really was Max..,2021-09-10T05:58:13Z
@Sicily_091,La vera Palermo ....ti amo palermo💗🖤,2021-09-10T05:14:54Z
@aakashpuri8294,Yes sure it&#39;s max,2021-09-10T04:17:56Z
@craigspencer2927,Now that is class!!!!,2021-09-10T03:25:16Z
@tychothung4337,"I accidentlly paused the video and noticed the woman at <a href=""https://www.youtube.com/watch?v=T8Yxjf5hv-E&amp;t=237"">3:57</a> has Max&#39;s number tattooed on her neck. Nice little detail.",2021-09-10T03:22:35Z
@zandak65mine,S P E T T A C O L O,2021-09-10T02:51:43Z
@GsonarakaTheVoodoocrasher,"Idea meravigliosa, stupenda città Palermo....Chissà se si potrà realizzare un qualcosa del genere nella mia Reggio Calabria, una bella tirata al Ponte della Libertà e sul Lungomare non sarebbe mica male! 😁....<br>Qui ho visto esposta la Ferrari 126 C Turbo del leggendario Gilles Villeneuve in Piazza Duomo nel 1998, quando avevo 9 anni, dopodiché di nuovo nel 2010 in occasione del Motorshow 2 Mari....<br>Nel 2017 invece credo era SF-16H all&#39;Arena Dello Stretto....",2021-09-10T02:43:19Z
@Kacsinszki,"Max: beach time!!!<br>Team: Sorry, head down, and stay focused!",2021-09-10T02:33:50Z
@michaelg-l8786,Unbelievable video wow! 🔥,2021-09-10T02:30:10Z
@anirbandas673,The concept the camerawork and the location...Simply superb,2021-09-10T02:10:56Z
@emanuelebonafede3497,"<a href=""https://www.youtube.com/watch?v=T8Yxjf5hv-E&amp;t=62"">1:02</a> that guy is so cute",2021-09-10T02:03:00Z
@benblakemore4195,WOW!!! 😀😀😀 CHECCO...THIS IS YOUR MOMENT BRO!!! GOOOO SERGIO PEREZ P1 @ MONZA 😊😊😊 &quot;BELISSIMO&quot;,2021-09-10T01:05:33Z
@andyoppelaar9936,"Palermo without traffic, wow.",2021-09-10T00:52:24Z
@xmaurii2154,"Dopo aver visto questo video della Red Bull, pensai a quanto fosse bella la mia città, Palermo. Ma è bella perché è vuota. Forse siamo noi palermitani a rovinarla, con il nostro caos, con il disordine e la sporcizia. Dovremo imparare a cambiare.",2021-09-10T00:39:47Z
@d.3958,E a noi la Ztl e le targhe alterne...,2021-09-10T00:24:32Z
@VzlaLeo,GG Red Bull,2021-09-10T00:05:05Z
@alessiolaplaca7326,"La città paralizzata per 3 giorni, tanti disagi, io ho perso un giorno di lavoro,   ma che capolavoro hanno fatto? Questa è poesia, che meraviglia la mia Palermo!!!",2021-09-10T00:02:04Z
@telecras7745,"Bellissimo, cioè a voi del sud vi stimano più gli stranieri che quelli del nord, e lo dico io che abito nel centro/nord, voi che insultate il sud dovete solo tacere.",2021-09-10T00:00:22Z
@julemanden800,"That wasnt max, nor horner... abit too cheesy for my taste :b",2021-09-09T23:54:52Z
@ahmadsiswaji763,Why did Max not drive a 2021 car?<br>He drove older version,2021-09-09T23:28:09Z
@michelesferlazza1001,"Vedere una scuderia che al momento  è prima nel mondiale di f1 Piloti,  dare lustro e visibilità alla bellissima Palermo, mostrando e risaltando le sue bellezze,  rende fieri ed orgogliosi  noi  Italiani, in particolar modo Siciliani e Palermitani. <br>(Quasi tutti)  <br><br>Quasi tutti perché, nonostante  ciò, c&#39;è  chi si è lamentato &quot;del traffico  e delle strade chiuse&quot;  <br><br>Questa Red Bull che  gira sempre ed ogni giorno per Palermo mostrandola a tutto il mondo è proprio fastidioso eh?  Camurria...un avianu nenti a chi fari... <br><br>Complimenti alla Redbull, Ammuttammu",2021-09-09T23:00:43Z
@valvalerio2642,"So unnecessary,  but epic nonetheless 😎 👏",2021-09-09T22:44:31Z
@eilois,But was he really Max? He could be<br><br><br><br><br><br><br><br><br><br><br><br><br>Giorgio,2021-09-09T22:33:29Z
@salvopic7704,"Come si fa a mettere il pollice in giù?? Palermo è una città bellissima e non teme rivali . Grazie Red Bull Team F1 che ci hai dato emozioni infinite e che rimarranno per sempre  , grazie Palermo che con le tue bellezze le hai fatto conoscere a tutto il mondo, grazie popolo di Palermo che con il vostro apporto e pazienza avete reso questo straordinario video unico e suggestivo. Un grazie speciale al pilota di F1 Verstappen. Sarebbe un sogno disputare un gran premio di F1 a Palermo.",2021-09-09T22:18:49Z
@YHK_YT,"Max really doesn’t sound interested at all, he’s like “oh damn driving down the city in my F1 car again??&quot;",2021-09-09T22:17:21Z
@potterino10,WOW che emozione!,2021-09-09T22:13:20Z
@Kroepoek82,Great CGI to edit in the car like that.,2021-09-09T22:07:45Z
@turbocompresso,"Bellissimo adoro la Sicilia,peccato per il suono non coerente con la vettura. Facciamo progresso...o ammettiamo che il passato sia molto meglio? Compreso il suono delle vecchie F1?",2021-09-09T22:02:28Z
@pablotm527,Semplicemente STRAORDINARIO ... Grazie,2021-09-09T21:56:24Z
@enes98li1,Simply lovely,2021-09-09T21:54:32Z
@francescodigirolamo9767,Beautiful,2021-09-09T21:15:10Z
@THX-oi6ff,Go Max 🇫🇷🇫🇷🇫🇷,2021-09-09T21:11:52Z
@TheZoomering,St. Verstappen!!!!!!,2021-09-09T21:08:37Z
@francescopetteno5238,fucking legends.,2021-09-09T20:53:52Z
@ricetteflash,Penso il video più pazzesco degli ultimi anni 🤯😀🤩,2021-09-09T20:52:45Z
@antoninolavigna3512,Solo in Sicilia si possono fare queste scelte bellissime 👋👍😃😄😀,2021-09-09T20:52:14Z
@rosyanello1916,My wonderful Palermo❤,2021-09-09T20:48:13Z
@MrKinghuman,I can&#39;t believe they shot a video in Sicily. My heart was racing the whole time. Love it.,2021-09-09T20:38:25Z
@angeloriccobene7800,Wowww,2021-09-09T20:37:09Z
@radicisicule,That&#39;s so cool,2021-09-09T20:31:57Z
@filippofanin7664,"Such a beautiful city, and unexpected for you to shoot there ahead of the Italian GP in Monza. But great choice, Sicily needs more recognition given all it has to offer",2021-09-09T20:28:26Z
@salvatorevullo9404,peccato che lo spot ha dei tempi da rispettare.. perché max ha visto solo un decimo delle bellezze di Palermo!,2021-09-09T20:17:43Z
@wertherux,Wow,2021-09-09T20:16:43Z
@wertherux,Im italy!!,2021-09-09T20:16:30Z
@RichardMichon,What a nice town. I hope to visit it one day. 👌,2021-09-09T20:15:36Z
@rzkyazizii,"if i have to bought f1 steer, can i have such a good drive like this with my volvo? 😭",2021-09-09T20:11:37Z
@Jabber-ig3iw,"They always go to the screamers for this stuff, just wouldn’t  be the same with the vacuum cleaners they currently use.",2021-09-09T20:06:39Z
@Jabber-ig3iw,Cheesy as hell.,2021-09-09T20:04:05Z
@janejordan85,"I was born here and lived here ever since. It may sound obvious but to me this is the best place in the world, or at least the place where my heart is. I highly recommend a visit if you’ve never been in Palermo.<br>You’ll leave your heart here too. ❤️",2021-09-09T19:42:27Z
@SkydiveToma,These RB video&#39;s are fire 🔥 Sick editing👌🏾,2021-09-09T19:36:56Z
@Cookieforevah,Max was getting his daily groceries until his team called him.,2021-09-09T19:28:04Z
@karensantos9873,Que coisa mais linda. Que produção incrivel 👏🏻👏🏻👏🏻,2021-09-09T19:23:39Z
@Befric,Video incredibile. Avrei voluto partecipare,2021-09-09T19:12:37Z
@mohamedabdelhameed5677,"Hamilton will maximize the lvl at Monza , it&#39;s his track wait for it 😜♥️♥️",2021-09-09T19:12:02Z
@antoniogiorgio3457,Grazie mille Red Bull mi avete fatto piangere di gioia!,2021-09-09T19:05:56Z
@giuseppedamico8249,"da oggi tifo RED BULL .....grande MAX ,,,,,FORZA MAXXXXXX !!!!!!!!",2021-09-09T19:01:11Z
@tigerez91,😍😍,2021-09-09T18:57:59Z
@Antonio-ys5yy,W la Sicilia  w Palermo bellissima Antonio da Napoli ❤️🖐️🖐️🖐️,2021-09-09T18:51:43Z
@VanessaSGamingParadise,hold on! is that a RB7 with the 2021 livery? :D,2021-09-09T18:43:25Z
@4MLA1,Love it,2021-09-09T18:33:46Z
@FF-cj1ox,Il sosia di  Max 🤔🤔,2021-09-09T18:29:35Z
@nitram.9621,I want to see the behind the scenes of this video.,2021-09-09T18:29:15Z
@motorfab7014,Che figata!<br>Bellissimo 😍,2021-09-09T18:18:29Z
@lucaangeli5499,La parte più bella è quando inquadrano Jakidale😂🔥🔥🔥,2021-09-09T18:17:01Z
@roversberg,ad for speeding? what happened to only use the epic shots..would be a far better edit then..this just takes to long.,2021-09-09T18:16:13Z
@sergiotornatore311,Cosa c&#39;entra il mandolino alla fine??,2021-09-09T18:12:57Z
@darshan394,The sound editor and video editor killed it and also the whole crew behind this video in this short time.  Fantastic job.,2021-09-09T18:09:00Z
@claudiaorlando6942,"I pollici in giù, vorrei capire che problemi hanno?? Razzismo o cosa?? È uno spot bello, che mette in risalto lo splendore della mia città ❤️<br>Palermo mia❤️",2021-09-09T18:01:17Z
@kamilzdun5116,XD .. ;),2021-09-09T17:56:52Z
@age.1998,I was speechless now 😍😍,2021-09-09T17:55:54Z
@marcodevries9520,Just loving that V8 sound with the high revs🥰,2021-09-09T17:49:47Z
@luallocarnezziare44,ecco perchè sfrecciava una formula uno sotto casa di un mio amico,2021-09-09T17:32:48Z
@hamidahmed5455,WELCOME PALERMO ❤❤❤,2021-09-09T17:31:39Z
@seanthompson258,Great video now lets kick hamilitons black ass once again Max!!! Do it good!!!,2021-09-09T17:31:17Z
@Accirtcogass,Max il prossimo anno ti aspettiamo a Napoli,2021-09-09T17:29:33Z
@yallowrosa,Nice and well-done spot<br>thank also RB for supporting the Italian Alpha Tauri team,2021-09-09T17:28:05Z
@marcograzzini62,Fantastico!!! 🇮🇹🇮🇹🇮🇹,2021-09-09T17:13:26Z
@skdutchy3245,"You guys already had the highest level regarding video&#39;s from F1 Teams, with this video, you Just raised the bar. Greetings from Amsterdam and Forza Ferrari :)",2021-09-09T17:12:07Z
@gijssavelkouls7184,So epic,2021-09-09T17:07:34Z
@hbfard,"I mean, Redbull can&#39;t do anything else rather than repeating itself. there is no creativity anymore. <br>and the most disgusting part of the clip is @<a href=""https://www.youtube.com/watch?v=T8Yxjf5hv-E&amp;t=165"">2:45</a> when Max has a stop and he answers to the radio: JUST HIT A LITTLE SNAG GUY. this line could be: JUST STOP BY A NICE SNAG GUY.<br>but the world in the eyes of the writer of the clip and also Max is exactly look like that. Everything including other humans are little except Redbull.<br>BIG DISLIKE",2021-09-09T16:58:53Z
@m.k.s.7417,"Could &quot;Red_Bull&quot; and others; &quot;sponsor their very own (ITALIAN)_ FOOTIE Leagues, &quot;Tournies&quot; (tournaments)/cups and (Club) -TEAMs; (for instance): = especially, &quot;for the very &quot;Youth!?&quot;!!&quot;??",2021-09-09T16:56:00Z
@pgxbest,Video da brividi!!!!,2021-09-09T16:40:18Z
@M4Pxls,Oh finally a sci-fi short film shot in Palermo! I never seen my city without the terrible traffic in the streets. Well done ;),2021-09-09T16:35:42Z
@eduardogomora341,Graben algo así cuando sea el GP de Mexico 🥲🇲🇽,2021-09-09T16:35:33Z
@mariaconcettarusso2588,"Vorrei che la mia bellissima città fosse pulita come lo è in questo video. Grazie <a href=""http://www.youtube.com/results?search_query=%23redbull"">#Redbull</a>",2021-09-09T16:16:02Z
@dejans3871,"Nice commercial, but in this car is Renault engine not Honda",2021-09-09T16:14:00Z
@1957angelo,"Com&#39;è bella Palermo truccata, ma quando si leva il trucco (come una bella donna), è  tutta un&#39;altra cosa!",2021-09-09T16:10:20Z
@adityavikram6077,Beautifulermo guys!!,2021-09-09T16:09:55Z
@francescopecorella8842,Wow fantastic spot for Palermo city... dopo quanti secondi ha distrutto le sospensioni 😂,2021-09-09T16:07:04Z
@rodolfoalfredoartola4129,"Ferrari, in your Face...!",2021-09-09T15:58:12Z
@severaaa,"italy is beautiful, have a good gp in monza!",2021-09-09T15:49:11Z
@edil_ferrodirecuperosebast3083,Che spettacolo la mia Palermo 😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍Grazieeeeee x questo video ❤️❤️❤️❤️❤️❤️,2021-09-09T15:41:42Z
@davide8597,Forza Paliemmoooooo!!,2021-09-09T15:39:14Z
@rosolinogentile7131,Complimenti alla Red Bull Honda. Spettacolare video. Domenica tiferò per voi. Da non riuscire a trattenere le lacrime,2021-09-09T15:37:39Z
@TheScottmcke,Epic!  Well done boys!!,2021-09-09T15:31:46Z
@charlieburgioph,"An unrealistic yet beautiful portrait of Palermo. Well filmed and directed but if feeds to the utopia of the perfect city without cars, traffic, clean without rubbish in every street, a city where everything is functional and taken care of. As a Palermitano, I feel sorry to say this, but watching this feels like looking at the Kardashians...completely fake.",2021-09-09T15:31:46Z
@gianlucaverde,Max e RedBull super top!! 🔝,2021-09-09T15:27:58Z
@eboyhowthey7295,What if. They put this on race calendar,2021-09-09T15:18:00Z
@andreamonti2326,"jakidale <a href=""https://www.youtube.com/watch?v=T8Yxjf5hv-E&amp;t=184"">3:04</a> ahahahahah",2021-09-09T14:58:55Z
@francesco5254,Te lo dico io... quest chi l&#39;è un terun,2021-09-09T14:56:54Z
@Richardtv1968,Wow stunning video …….. makes me wanna go as quickly to Sicily and Palermo!! I defenitely will ……  ci vediamo presto a tutti!!,2021-09-09T14:56:24Z
@paolo3431,Been in Palermo there... Loveeeeee it,2021-09-09T14:54:24Z
@CARLOPETILINO,Meglio una FERRARI,2021-09-09T14:42:39Z
@closergosling3355,Estaría super padre que se  hiciera un circuito callejero en Palermo,2021-09-09T14:40:02Z
@Wootiify,must&#39;ve been fun to film,2021-09-09T14:33:15Z
@happybuddhist,Ah the V10.. in all its glory!! 😍,2021-09-09T14:30:07Z
@nirajsharma5477,"<a href=""https://www.youtube.com/watch?v=T8Yxjf5hv-E&amp;t=170"">2:50</a> he let the haas go",2021-09-09T14:21:15Z
@stackercoding2054,Things like this is what makes  Red Bull the best F1 Team,2021-09-09T14:20:05Z
@GianpaoloNastaDiBiase,Ma un circuito cittadino a Palermo a quando?? 😍,2021-09-09T14:10:33Z
@gaetanonemadeinsud5387,beautiful project to show the beautiful Italy ❤,2021-09-09T14:03:03Z
@enry2120,Video fantastico e bellissime inquadrature🙌🇮🇹,2021-09-09T14:02:52Z
@MichaelJordan-kx8xf,World really really and really like to see the making especially the done shots!,2021-09-09T13:59:14Z
@raxrax9495,Sono stata 5 ore nel traffico per sto spot ☺️☺️,2021-09-09T13:56:49Z
@caccaminguscia,Stereotypes about Italy all over the place,2021-09-09T13:52:45Z
@JollyDopeSmoker,This is epic!,2021-09-09T13:50:12Z
@peter4223,I want to see Sergio Perez more often,2021-09-09T13:49:35Z
@kmallzin1491,Is that the rb15,2021-09-09T13:48:32Z
@passionvideogame4503,Comunque amo la Sicilia,2021-09-09T13:33:23Z
@passionvideogame4503,Il traghetto c&#39;è pure li,2021-09-09T13:33:04Z
@passionvideogame4503,Ma una sosta a messina????,2021-09-09T13:32:38Z
@far-red,somehow i dont think the driver is max,2021-09-09T13:23:41Z
@rieilaful,Palermo  ❤️,2021-09-09T13:20:19Z
@muhammadadly1115,Epic,2021-09-09T13:18:23Z
@amedeobettinelli6893,🇮🇹🇮🇹🇮🇹🇮🇹🇮🇹❤️❤️❤️❤️,2021-09-09T13:07:33Z
@LawrenceMorales9679,😍,2021-09-09T13:07:05Z
@basilsaman4689,RB killing it as alwas,2021-09-09T13:06:26Z
@mrricer95,Vicenzo casano,2021-09-09T13:02:14Z
@mrricer95,Nice parking lot 🤣,2021-09-09T13:00:31Z
@marcoscarpato4316,Io Sono catanese ed amo la mia città ma Palermo è anche bella e questo video mi ha fatto emozionare ♥️♥️Viva la Sicilia♥️♥️,2021-09-09T12:59:35Z
@exile3469,Ayyy who&#39;s the video production manager!  I need a talk with him! You guys killing it with these great videos! <br>Hope the Mexico 🇲🇽 video is a great one also,2021-09-09T12:58:32Z
@user-si4wp7zx2k,良い動画ありがとうございます！<br>こんな動画を作ってくれるRED BULLが大好きだー！！,2021-09-09T12:51:20Z
@septianikaprasetya8856,Which RB series is this? Is this street legal?😀😀😀,2021-09-09T12:47:23Z
@antonioferrara2476,"RedBull Racing, you are the fastest on track and also the funniest with this video. Waiting for Ferrari come back in the top teams (I don&#39;t know when), you have one more fan from Italy! Good luck for Monza!",2021-09-09T12:41:11Z
@Blurky82,I wonder if that V8 engine is an older Honda engine or the Renault one that that chassis was build around..,2021-09-09T12:35:27Z
@Charlie-fk1jo,Casa mia😍,2021-09-09T12:29:34Z
@MatteoGualandris,Wow 😍,2021-09-09T12:24:06Z
@fil5915,Mi fate sognare,2021-09-09T12:23:12Z
@alessandrovalenti9409,Grazie per aver mostrato il vero volto della mia città.,2021-09-09T12:13:32Z
@G3TSU64,That&#39;s not a Honda Engine XD  But nice Vid,2021-09-09T12:12:12Z
@gamerforlife9988,The Drone shots are incredible! Hats off to the Droneflyer!,2021-09-09T12:10:55Z
@MaurizioRusso,"So the traffic in the streets is&#39;t the biggest problem in Palermo 😅 kill video redbull, bravo!",2021-09-09T11:59:12Z
@alessandrotrapani2930,"Bellissima, unica, indimenticabile &quot;PALERMO&quot;  ❤️❤️❤️❤️❤️❤️",2021-09-09T11:58:05Z
@danielescalisi2134,I&#39;m not crying....I&#39;ve just a red bull in my eyes 😭😭😭😭😭😭<br><br>Thank you red bull 🙌🙌🙌 <br>From a Palermitano❤️❤️💗,2021-09-09T11:56:33Z
@lucafernandez3517,"Song <a href=""https://www.youtube.com/watch?v=T8Yxjf5hv-E&amp;t=93"">1:33</a>?",2021-09-09T11:52:39Z
@desmondyap5391,"Its weird to see people crowding the streets,without masks.",2021-09-09T11:48:01Z
@antonioventura172,Wonderful!!!!!!!!,2021-09-09T11:47:36Z
@horacefantasy9592,"Come non tifare Red Bull quest&#39;anno? (Oltre ferrari, alpha tauri e alfa romeo)",2021-09-09T11:46:29Z
@danieledidonato1534,"Welcome to italy, let&#39;s go😉😎",2021-09-09T11:40:18Z
@FedeColomboTube,Grazie RedBull ❤️,2021-09-09T11:39:45Z
@imskint1,Ciao!! Ci vediamo Mondello Bay! 🌊,2021-09-09T11:31:53Z
@juventinadal1987,Grazie Red Bull ❤️ <br>P.S. Se vi è piaciuta la bellissima Palermo potreste anche fare un pensierino al Palermo F.C. 😅,2021-09-09T11:27:11Z
@josephanthonymartorana7227,"Vorrei sapere come si chiama la canzone lirica di sottofondo , è bellissima….",2021-09-09T11:24:57Z
@bellessimaitalia3180,waw amazing,2021-09-09T11:16:16Z
@amoghverma8285,Redbull can you fly me out for Italian gp.....monza is my fav track and I have never watched one in real life and I cant even watch it live either cuz we cant afford it....plz fly me out for the race,2021-09-09T11:04:03Z
@onemanuele,Pazzesco ❤️,2021-09-09T11:02:09Z
@ClaudioAbbadessa,Amazing video :),2021-09-09T10:57:21Z
@ZambePro,F1 race stars be like:,2021-09-09T10:55:50Z
@antonboron7214,onore e merito alla red bull racing per aver omaggiato palermo un sentito grazie a nome di tutti i palermitani,2021-09-09T10:50:34Z
@murdocka-team6230,"Semplicemente Fantastici, grandioso spot per Palermo e L&#39;Italia, grazie RedBull.",2021-09-09T10:44:02Z
@danikeiko2169,Fantastic video!  Just back from Palermo and I already miss life there.  I cannot wait to go back there next summer.,2021-09-09T10:43:52Z
@skyr730_yt8,This is is so good!🔥🔥😍,2021-09-09T10:39:18Z
@ciarass,Quando vuoi tiriamo sulla favorita 😎😂,2021-09-09T10:32:47Z
@broyout3586,"Very cool nonsense :-) Feels like an hommage to <a href=""https://www.youtube.com/watch?v=1_kwxzU4wL4"">https://www.youtube.com/watch?v=1_kwxzU4wL4</a>",2021-09-09T10:32:38Z
@iMeze,"I want to know the production budget on this, does anybody know?<br>Must be over a million $.",2021-09-09T10:29:15Z
@ttiagreve,"Welcome to Monza , Italy",2021-09-09T10:21:50Z
@model101t800,"Ow how I miss that sound, the beautiful Hond... Renault sound !",2021-09-09T10:16:02Z
@fritzleodolter9539,"Wie immer, ein Super Clip von Red Bull(mit Mäx), im wunderschönen Sizilien!😍",2021-09-09T10:04:01Z
@davekeehl,We want a street circuit in Palermo 🔥🔥🔥,2021-09-09T10:02:52Z
@vivid88884,❤,2021-09-09T10:02:39Z
@helena20707,"Bellissimo video, Palermo è spettacolare. grazie ♥️♥️♥️♥️♥️♥️♥️",2021-09-09T09:50:48Z
@eugenioviazzi9980,Fantastico. Solo per questo video dovreste vincere il mondiale. I Hope. Come on boys!,2021-09-09T09:47:23Z
@alemrzt,Goose bumps!! Thanks for your tribute!!,2021-09-09T09:44:18Z
@marinacorsale3072,Che spettacolo!,2021-09-09T09:42:32Z
@SachinBalmane,Calls for a street circuit race here ?,2021-09-09T09:37:59Z
@skybiella8269,Thank you RED BULL for this gift to my PALERMO,2021-09-09T09:31:42Z
@arnoldpinto1370,Reasons to love red bull ❤️,2021-09-09T09:25:11Z
@CTcuber4K,I always watch these roadtrips with only 1 thought in my mind: rest in piece everyones eardrums,2021-09-09T09:23:48Z
@tapanhati4236,Max max max super max max,2021-09-09T09:21:41Z
@Richard-Gore,"The wrong livery is just so annoying. If you want to use this year&#39;s livery, why don&#39;t just use at least last year&#39;s car or &#39;19&#39;s car?<br>What&#39;s the newest cars they can use? Obviously not &#39;21&#39;s car, they need to keep it safe, maybe not &#39;20&#39;s car since last year model might be needed for R&amp;D.",2021-09-09T09:19:01Z
@eugene_ok,That engine sound!,2021-09-09T09:11:58Z
@dairola,you guys are so cool! I love it,2021-09-09T09:09:23Z
@samuelemistretta5431,Mamma miaaaa,2021-09-09T09:08:10Z
@3liaxxii,Welcome 🇮🇹❤️🍕,2021-09-09T09:06:29Z
@SWFL_FISHING_239,Nice video!!! Haha,2021-09-09T09:06:13Z
@gabriellaman2180,wonderful! 😍😍 che meraviglia! 😍😍 Palermo ❤️,2021-09-09T09:05:57Z
@smeulendvuurtje,Che Bella.... 🇮🇹,2021-09-09T09:04:32Z
@lucaindelicato3460,"This amazing video is also a methaphor of my life.<br>I live here. I know so well the historical and artistic heritage and the natural beauty of my city, but in the meantime I notice in the every-day life that it is so much abandoned and it suffers of many social-politics issues. Soon I&#39;ll leave my city for work, that time I&#39;ll think: Ciao Palermo, you are so beautiful...❤️",2021-09-09T08:59:19Z
@pietrosinagra1133,NA CACATA PAZZESCA ....,2021-09-09T08:57:20Z
@marcocallisti5376,Fantastico!,2021-09-09T08:56:55Z
@chiarapvn,Stereotipi ce ne sono?,2021-09-09T08:54:29Z
@tp00S,It&#39;s time for the Honda engine to melt the Monza asphalt. Let&#39;s beat one more Max.,2021-09-09T08:53:15Z
@keeningo,"I did miss this race, but it&#39;s great to see nice footage here!!",2021-09-09T08:52:39Z
@vaishnavsuraj007,<b>Did I just saw a 5 minute Red Bull ad</b>,2021-09-09T08:48:41Z
@antoclo,"As sicilian boy living abroad, thank you Red Bull!",2021-09-09T08:47:16Z
@Gabriel-et2ss,"This is the perfect city for Mercedes, Mafia&#39;s city",2021-09-09T08:45:42Z
@rgboss1337,Red Bulls Videos are always the best ones! Greetings from Germany,2021-09-09T08:45:22Z
@calogerocannella2697,Spettacolare complimenti W Palermo😍💪💪✌😎😎🇧🇹🇧🇹🇧🇹,2021-09-09T08:44:22Z
@pietropruonto8293,@jakidale cosa combini,2021-09-09T08:40:07Z
@StarryNightGazing,Gorgeous city but I can tell you you&#39;ll never see its streets so clear of cars 😁😁😁,2021-09-09T08:39:43Z
@ileniamarino5019,GRAZIE PER QUESTO SPLENDIDO OMAGGIO AD UNA DELLE CITTÀ PIÙ BELLE DEL MONDO,2021-09-09T08:39:13Z
@GT2000.,Русские тоже смотрят. Очень красиво снято все))),2021-09-09T08:38:34Z
@ishanjain4207,Make a video with checo in Mexico 🙏🙏🙏,2021-09-09T08:36:42Z
@francescocalabro6408,Spettacolare!,2021-09-09T08:34:25Z
@Zumadepuma,"What a fantastic video! Please Red Bull Racing Honda, give us the &#39;making of...&#39; as well!",2021-09-09T08:32:57Z
@Zumadepuma,"Oh, the sound of that engine! 😍<br>Wonder what Renault would be thinking now seeing the RB7 with all those Honda patches. <br>I guess it&#39;s still the Renault engine that will be in there, won&#39;t it?",2021-09-09T08:31:47Z
@emanueledrago9343,Cosa dire? Stupenda Palermo,2021-09-09T08:28:26Z
@andrealp7673,"Bellissima Palermo, consiglio a tutti di visitarla! Mix di cultura (tantissima), mare, sole, buon cibo, accoglienza.",2021-09-09T08:23:34Z
@redriv,Thanks RedBull for this outstanding tribute ❤💙💛 We wait for you with open arms in Monza,2021-09-09T08:13:21Z
@danielespinelli5221,Such an emotion to see you running through the wonderful Palermo! What a great video &lt;3,2021-09-09T08:13:13Z
@Anilorac60,"&quot;È lo stesso vento che distrugge le case e impollina i fiori, che strappa le tende e gonfia le vele, è lo stesso vento che addormenta i vecchi e sveglia i bambini, lo stesso vento che mi ruba il ricordo di questa città, per ridarmela diversa e sempre più bella.&quot; (anonimo) - Grazie Red Bull, per questo splendido video che racchiude in pochi minuti, tutto lo splendore della mia mia Palermo! 💗",2021-09-09T08:09:22Z
@fabiogiacon5164,MAX ... MAX ... MAX ... SUPERMAX !,2021-09-09T08:09:12Z
@bernardocasula812,Wowwwwwwwwwwww!,2021-09-09T08:03:13Z
@lukromanczuk,RB TOP! (As always),2021-09-09T07:50:24Z
@topjurken-nl,We love Italian design 👗... (and Max Verstappen) 😊🏎,2021-09-09T07:49:26Z
@vibafaidate1164,"BELLISSIMO!!!!  Basta tifare Ferrari, da oggi si cambia.",2021-09-09T07:45:00Z
@F12010Team,"max can just simply walk in a busy market because italians dont care about redbull drivers, they only want ferrari!",2021-09-09T07:43:26Z
@RedBullMotorsports,Words can’t espresso how much we loved our time in Palermo 😅🇮🇹,2021-09-09T07:42:51Z
@cettinabaglieri9300,"Grazie red bull, grazie al regista avete colto l essenza d questa magnifica città, m sono commosa,,, Palermo bellissima",2021-09-09T07:42:12Z
@marcogiuseppedegaetano,"Un autentico capolavoro, ma se prendeva per la via Libertà dal Monumento dei caduti poteva &quot;allazzare&quot; alla grande ..... Grazie autori",2021-09-09T07:42:06Z
@marialuisapisasimonini7026,"Commossa di fronte a tanta bellezza, la mia città, Palermo. Grazie Red Bull, Grazie sindaco Orlando.",2021-09-09T07:30:57Z
@ombaksegorocuy,Wow RB7,2021-09-09T07:26:01Z
@semperfidelis981,Solo Red Bull poteva regalare emozioni simili🔥🔥🔥🔥,2021-09-09T07:25:52Z
@zachambrose625,What RB car are they using?,2021-09-09T07:19:40Z
